"","Subject","Bin","Time","ToTarget","ToDistractors","Proportion","Trials","elogit","elogit_weights","ot1","ot2"
"1673","666L",23,1349.0226,24,31,0.436363636363636,25,-0.251314428280906,0.072562358276644,0.158201797323251,-0.0509458188207897
"1674","666L",24,1398.9864,22,28,0.44,25,-0.23638877806423,0.0795321637426901,0.179295370299685,-0.00727797411725567
"1675","666L",25,1448.9502,23,29,0.442307692307692,25,-0.227389842195661,0.0764514965741075,0.200388943276118,0.0418483511742201
"1676","666L",26,1498.914,21,33,0.388888888888889,25,-0.443492503697404,0.0763623741756335,0.221482516252552,0.0964331570536376
"1677","666L",27,1548.8778,23,36,0.389830508474576,25,-0.440311839438333,0.0699504517633343,0.242576089228985,0.156476443520997
"1678","666L",28,1598.8416,24,39,0.380952380952381,25,-0.477627554356395,0.0661327822268148,0.263669662205418,0.221978210576298
"1679","666L",29,1648.8054,26,36,0.419354838709677,25,-0.320167527596269,0.0651331093305764,0.284763235181852,0.292938458219541
"1680","666L",30,1698.7692,27,36,0.428571428571429,25,-0.28312625591592,0.063760896637609,0.305856808158285,0.369357186450725
"1681","667L",1,249.819,25,75,0.25,39,-1.0854542040906,0.0524607193870926,-0.305856808158285,0.369357186450725
"1682","667L",2,299.7828,29,68,0.298969072164948,39,-0.842443481922405,0.0484968452307312,-0.284763235181852,0.292938458219541
"1683","667L",3,349.7466,32,62,0.340425531914894,39,-0.653926467406664,0.0467692307692308,-0.263669662205418,0.221978210576298
"1684","667L",4,399.7104,40,63,0.388349514563107,39,-0.449737931786153,0.0404393895207543,-0.242576089228985,0.156476443520997
"1685","667L",5,449.6742,34,65,0.343434343434343,39,-0.641090818603892,0.0442526828188959,-0.221482516252551,0.0964331570536376
"1686","667L",6,499.638,29,69,0.295918367346939,39,-0.856936489224972,0.0482867942933789,-0.200388943276118,0.0418483511742202
"1687","667L",7,549.6018,26,72,0.26530612244898,39,-1.00644182886845,0.0515289525048796,-0.179295370299685,-0.00727797411725557
"1688","667L",8,599.5656,25,67,0.271739130434783,39,-0.973449145714104,0.0540305010893246,-0.158201797323251,-0.0509458188207896
"1689","667L",9,649.5294,28,69,0.288659793814433,39,-0.891422665296142,0.0494762085068787,-0.137108224346818,-0.0891551829363819
"1690","667L",10,699.4932,34,59,0.365591397849462,39,-0.54501698851427,0.0457922299354524,-0.116014651370384,-0.121906066464032
"1691","667L",11,749.457,34,62,0.354166666666667,39,-0.594207232705042,0.0449855072463768,-0.0949210783939507,-0.149198469403741
"1692","667L",12,799.4208,36,68,0.346153846153846,39,-0.629521484679734,0.041995800419958,-0.0738275054175172,-0.171032391755508
"1693","667L",13,849.3846,38,65,0.368932038834951,39,-0.531391901347468,0.0412412015465451,-0.0527339324410837,-0.187407833519333
"1694","667L",14,899.3484,42,62,0.403846153846154,39,-0.385662480811985,0.0395294117647059,-0.0316403594646502,-0.198324794695217
"1695","667L",15,949.3122,47,52,0.474747474747475,39,-0.100083458556983,0.0401002506265664,-0.0105467864882168,-0.203783275283159
"1696","667L",16,999.276,50,44,0.531914893617021,39,0.12648414710912,0.0422738903103794,0.0105467864882167,-0.203783275283159
"1697","667L",17,1049.2398,52,40,0.565217391304348,39,0.259511195485085,0.0437389770723104,0.0316403594646503,-0.198324794695217
"1698","667L",18,1099.2036,62,31,0.666666666666667,39,0.685179010910768,0.0477460317460317,0.0527339324410837,-0.187407833519333
"1699","667L",19,1149.1674,71,27,0.724489795918367,39,0.955511445027436,0.0503496503496503,0.0738275054175172,-0.171032391755508
"1700","667L",20,1199.1312,76,25,0.752475247524752,39,1.09861228866811,0.0522875816993464,0.0949210783939507,-0.149198469403741
"1701","667L",21,1249.095,74,23,0.762886597938144,39,1.1537987042354,0.055976010281308,0.116014651370384,-0.121906066464032
"1702","667L",22,1299.0588,77,27,0.740384615384615,39,1.03609193168678,0.049266862170088,0.137108224346818,-0.0891551829363819
"1703","667L",23,1349.0226,77,25,0.754901960784314,39,1.11159948419492,0.0521189120809614,0.158201797323251,-0.0509458188207897
