"Subject","Bin","Time","ToTarget","ToDistractors","Proportion","Trials","elogit","elogit_weights","ot1","ot2"
"103L",24,1398.9864,72,32,0.692307692307692,40,0.802346472524937,0.0445623342175066,0.179295370299685,-0.00727797411725567
"103L",25,1448.9502,75,29,0.721153846153846,40,0.939742392909205,0.0471433381973285,0.200388943276118,0.0418483511742201
"103L",26,1498.914,73,28,0.722772277227723,40,0.947381318944186,0.0486931614751164,0.221482516252552,0.0964331570536376
"103L",27,1548.8778,67,29,0.697916666666667,40,0.82773733453271,0.0487131198995606,0.242576089228985,0.156476443520997
"103L",28,1598.8416,70,30,0.7,40,0.837886026204857,0.0469712824090222,0.263669662205418,0.221978210576298
"103L",29,1648.8054,68,34,0.666666666666667,40,0.685874421230866,0.0435840473923622,0.284763235181852,0.292938458219541
"103L",30,1698.7692,63,38,0.623762376237624,40,0.500381664604907,0.041722057470089,0.305856808158285,0.369357186450725
"104L",1,249.819,24,77,0.237623762376238,39,-1.15160481880862,0.0537195523370639,-0.305856808158285,0.369357186450725
"104L",2,299.7828,24,79,0.233009708737864,39,-1.17708390410961,0.0533949428828135,-0.284763235181852,0.292938458219541
"104L",3,349.7466,19,73,0.206521739130435,39,-1.32687094064909,0.064887493458922,-0.263669662205418,0.221978210576298
"104L",4,399.7104,18,75,0.193548387096774,39,-1.4063619241707,0.0672990871666368,-0.242576089228985,0.156476443520997
"104L",5,449.6742,20,70,0.222222222222222,39,-1.23518782367386,0.0629648849679986,-0.221482516252551,0.0964331570536376
"104L",6,499.638,22,71,0.236559139784946,39,-1.15618214048959,0.0584304584304584,-0.200388943276118,0.0418483511742202
"104L",7,549.6018,26,71,0.268041237113402,39,-0.992552716707785,0.0517218630426178,-0.179295370299685,-0.00727797411725557
"104L",8,599.5656,22,75,0.22680412371134,39,-1.2106173470446,0.0576894775570272,-0.158201797323251,-0.0509458188207896
"104L",9,649.5294,21,75,0.21875,39,-1.25607972112136,0.0597566610195595,-0.137108224346818,-0.0891551829363819
